TXN000001    CUST89581  000198885 000002983 000201868
TXN000002    CUST62506  000071664 000001075 000072739
TXN000003    CUST55832  000137919 000002069 000139988
TXN000004    CUST61397  000181228 000002718 000183946
TXN000005    CUST68294  000113501 000001703 000115204
TXN000006    CUST89241  000142333 000002135 000144468
TXN000007    CUST18523  000031967 000000480 000032447
TXN000008    CUST28521  000102426 000001536 000103962
TXN000009    CUST24530  000084822 000001272 000086094
TXN000010    CUST89502  000170827 000002562 000173389
TXN000011    CUST50424  000011982 000000180 000012162
TXN000012    CUST64749  000172608 000002589 000175197
TXN000013    CUST37950  000190659 000002860 000193519
TXN000014    CUST13973  000198732 000002981 000201713
TXN000015    CUST87508  000018317 000000275 000018592
TXN000016    CUST39084  000139561 000002093 000141654
TXN000017    CUST14275  000104930 000001574 000106504
TXN000018    CUST98867  000014949 000000224 000015173
TXN000019    CUST27801  000027580 000000414 000027994
TXN000020    CUST93280  000146297 000002194 000148491
TXN000021    CUST82923  000151629 000002274 000153903
TXN000022    CUST93142  000015424 000000231 000015655
TXN000023    CUST47959  000163747 000002456 000166203
TXN000024    CUST66974  000042748 000000641 000043389
TXN000025    CUST12622  000119608 000001794 000121402
TXN000026    CUST21793  000019753 000000296 000020049
TXN000027    CUST96026  000190906 000002864 000193770
TXN000028    CUST98205  000060335 000000905 000061240
TXN000029    CUST91656  000125109 000001877 000126986
TXN000030    CUST80765  000169547 000002543 000172090
TXN000031    CUST84680  000025467 000000382 000025849
TXN000032    CUST39135  000120824 000001812 000122636
TXN000033    CUST26969  000075022 000001125 000076147
TXN000034    CUST56520  000127477 000001912 000129389
TXN000035    CUST56468  000088078 000001321 000089399
TXN000036    CUST58780  000176637 000002650 000179287
TXN000037    CUST88933  000091426 000001371 000092797
TXN000038    CUST14794  000122681 000001840 000124521
TXN000039    CUST94657  000107805 000001617 000109422
TXN000040    CUST15489  000163869 000002458 000166327
TXN000041    CUST77828  000155673 000002335 000158008
TXN000042    CUST43733  000138559 000002078 000140637
TXN000043    CUST43233  000161826 000002427 000164253
TXN000044    CUST34249  000056810 000000852 000057662
TXN000045    CUST62346  000008344 000000125 000008469
TXN000046    CUST61751  000080551 000001208 000081759
TXN000047    CUST49991  000104637 000001570 000106207
TXN000048    CUST63755  000167543 000002513 000170056
TXN000049    CUST42112  000037889 000000568 000038457
TXN000050    CUST43458  000148532 000002228 000150760
